* Assignment 1 grades
* Columns:
* id grade

6523	91
3828	76
4177	96
6871	71
7625	91
7185	71
1435	81
2640	71
8500	71
6022	86
8795	86
3829	96
8589	96
7438	81
3204	96
4210	96
5236	86
4366	96
5381	96
8287	71
7408	76
7011	81
1413	96
3391	81
2231	71
8953	81
8648	66
3082	81
2117	71
7671	81
4010	66
2659	96
2607	91
3535	91
4894	81
8481	66
7308	71
8766	76
5010	76
6823	91
3559	76
2493	81
2890	91
8276	91
4531	66
5061	66
8148	86
2276	91
1291	71
4679	66
4628	86
3341	81
4642	86
6056	91
7815	91
2079	66
6122	71
2808	66
2556	81
6061	96
4805	81
4985	91
3522	86
4037	81
6811	86
3244	76
3113	86
5040	66
5399	71
4516	91
1060	86
3811	86
5365	66
2416	96
3308	86
3557	86
8854	81
3415	66
5787	76
2309	86
4861	76
8074	76
5342	71
6367	91
7677	91
4267	86
7136	86
3959	96
7988	96
8930	96
7912	86
5409	86
1041	76
3683	76
4606	96
5439	91
1955	71
6669	86
2783	71
5537	81
